раздел;статья;кол-во;единица;сумма_руб;комментарий
0. Организация;Дизайн / рабочие схемы;56;м2;80000;Не полный 3D, только чертежи электрики и сантехники
0. Организация;Расходники;1;комплект;50000;
0. Организация;Вывоз мусора;56;м2;30000;
0. Организация;Доставка;1;комплект;25000;
1. Основание;Наливной пол;51;м2;38000;Не экономить
1. Основание;Шпаклёвка под покраску;150;м2;83000;Не экономить
1. Основание;Гидроизоляция санузлов;2;шт;25000;Не экономить
2. Электрика;Щит УЗО автоматы;1;шт;50000;Без умного дома
2. Электрика;Точки розетки свет;58;шт;150000;Без лишних декоративных выводов. Кухня полный набор
2. Электрика;БП лент диммеры;1;комплект;22000;Ленты оставить
3. Сантехника;Разводка труб коллектор;1;комплект;190000;Трубы не дешеветь. Без тёплого пола
4. Плитка;Керамогранит;41;м2;90000;60х120 беж ~2200 руб/м2
4. Плитка;Клей затирка;41;м2;22000;
4. Плитка;Укладка;41;м2;74000;
5. Приборы;Инсталляция + унитаз;2;шт;60000;Cersanit / Am.Pm
5. Приборы;Ванна 170;1;шт;28000;Акрил
5. Приборы;Стекло шторка;1;шт;18000;Одна неподвижная
5. Приборы;Душевой комплект;1;шт;14000;Масс-маркет тропический
5. Приборы;Тумбы раковины;2;шт;38000;Готовые белые без ручек
5. Приборы;Смесители;3;шт;18000;
5. Приборы;Полотенцесушитель;1;шт;7000;
5. Приборы;Зеркала с подсветкой;2;шт;14000;Лента за обычным зеркалом
5. Приборы;Установка;1;комплект;35000;
6. Полы;Линолеум;55;м2;77000;Полукоммерческий под дуб ~1400 руб/м2. Кухня тоже линолеум
6. Полы;Укладка клей сварка;51;м2;18000;
6. Полы;Клей;51;м2;8000;
6. Полы;Плинтус;50;м.п.;18000;
7. Стены;Покраска;150;м2;90000;
7. Стены;Реечная стена спальня;8;м2;28000;МДФ/полиуретан + LED
7. Стены;ТВ-панель;1;шт;8000;Лента за ТВ
7. Стены;Флейтинг прихожая;1;стена;8000;Готовые панели
8. Потолок;Полотно + профиль;56;м2;140000;Натяжной + теневой профиль
8. Потолок;Споты;25;шт;20000;Без магнитного трека
8. Потолок;LED лента;40;м;28000;Оставить обязательно
8. Потолок;Подвесы кухня;2;шт;8000;
9. Двери;Комплект дверь установка;4;шт;80000;Гладкая эмаль + чёрная ручка
10. Лоджия;Отделка;3.4;м2;15000;Только покраска
ИТОГО;без запаса;56.12;м2;1707000;
Запас 8%;;;;137000;
К ОПЛАТЕ;с запасом;56.12;м2;1844000;
